"importId";"code";"name";"fullName";"countryCode.numericCode"
"1" ;41700000; "ЦЕНТРАЛЬНЫЙ  АППАРАТ" ; "ЦЕНТРАЛЬНЫЙ АППАРАТАТ ГТС ПРИ ПКР" ;417
"2" ;41720100; "ЦТП "НАРЫН"" ; "ВОСТОЧНАЯ ТАМОЖНЯ ЦЕНТР ТАМОЖЕННЫХ ПРОЦЕДУР "НАРЫН"" ;417
"3" ;41750000; "БАТКЕНСКАЯ " ; "БАТКЕНСКАЯ ТАМОЖНЯ" ;417
"4" ;41781000; "МАНАС" ; "ТАМОЖНЯ "МАНАС"" ;417
"5" ;41730006; "МПТП  "КЕНЕСАЙ"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "КЕНЕСАЙ"" ;417
"6" ;41781001; "МПТП "АЭРОПОРТ МАНАС"" ; "ТАМОЖНЯ "МАНАС" МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "АЭРОПОРТ МАНАС"" ;417
"7" ;41750001; "МПТП  "КЫЗЫЛ-КЫЯ"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "КЫЗЫЛ-КЫЯ"" ;417
"8" ;41750003; "МПТП "КЫЗЫЛ-БЕЛЬ"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "КЫЗЫЛ-БЕЛЬ"" ;417
"9" ;41750005; "МТО "ЖД КЫЗЫЛ-КЫЯ"" ; "МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "ЖД КЫЗЫЛ-КЫЯ"" ;417
"10" ;41750002; "МПТП "КАЙРАГАЧ"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "КАЙРАГАЧ"" ;417
"11" ;41730003; "МПТП "БАЙМАК"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "БАЙМАК"" ;417
"12" ;41781002; "МТО "КММ"" ; "ТАМОЖНЯ "МАНАС" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "КММ"" ;417
"13" ;41710303; "ПУНКТ ПЕРЕСЕЧЕНИЯ "СЭЗ-БИШКЕК"" ; "ПУНКТ ПЕРЕСЕЧЕНИЯ "СЭЗ-БИШКЕК"" ;417
"14" ;41761000; "ОТ "ЮГ"" ; "ОПЕРАТИВНАЯ ТАМОЖНЯ ПО ЮЖНОМУ РЕГИОНУ" ;417
"15" ;41750013; "ПУНКТ ПЕРЕСЕЧЕНИЯ "КЫЗЫЛ-КИЯ ЖЕЛЕЗНОДОРОЖНЫЙ"" ; "ПУНКТ ПЕРЕСЕЧЕНИЯ "КЫЗЫЛ-КИЯ ЖЕЛЕЗНОДОРОЖНЫЙ"" ;417
"16" ;41762000; "ЮГО - ЗАПАДНАЯ " ; "ЮГО - ЗАПАДНАЯ ТАМОЖНЯ" ;417
"17" ;41714000; "СЕВЕРО-ВОСТОЧНАЯ ТАМОЖНЯ" ; "СЕВЕРО-ВОСТОЧНАЯ ТАМОЖНЯ" ;417
"18" ;41714100; "ЦТО "БИШКЕК"" ; "ЦЕНТР ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БИШКЕК"" ;417
"19" ;41762100; "ЦТУ "ОШ"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "ОШ"" ;417
"20" ;41762101; "МПТП "ДОСТУК"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "ДОСТУК"" ;417
"21" ;41762102; "МПТП  "БОР-ДОБО"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "БОР-ДОБО"" ;417
"22" ;41762103; "МПТП "КАРА-МЫК"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "КАРА-МЫК"" ;417
"23" ;41762104; "МПТП  "ИРКЕШТАМ"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "ИРКЕШТАМ"" ;417
"24" ;41762105; "МТО И МПТП "КАРА-СУУ-ЖЕЛЕЗНОДОРОЖНЫЙ"" ; "МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ  "КАРА-СУУ-ЖЕЛЕЗНОДОРОЖНЫЙ" И МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "КАРА-СУУ-ЖЕЛЕЗНОДОРОЖНЫЙ"" ;417
"25" ;41762106; "МТО "Ж\Д ОШ"" ; "МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ" Ж\Д ОШ"" ;417
"26" ;41762107; "МТО "БИМИ ОШ СЕРВИС"" ; "МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БИМИ ОШ СЕРВИС"" ;417
"27" ;41762109; "МПТП И ТО "АЭРОПОРТ ОШ"" ; "МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР И ТАМОЖЕННОГО ОФОРМЛЕНИЯ "АЭРОПОРТ ОШ"" ;417
"28" ;41762108; "МТО "МЕГА ЛОГИСТИК"" ; "МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "МЕГА ЛОГИСТИК"" ;417
"29" ;41714101; "МТО "БИЗНЕС-ТРАНС-СЕРВИС"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БИЗНЕС-ТРАНС-СЕРВИС"" ;417
"30" ;41714102; "МТО "АВТОМОБИЛЬНЫЙ" ЦТУ "БИШКЕК"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "АВТОМОБИЛЬНЫЙ"" ;417
"31" ;41714300; "ЦТУ "СЭЗ БИШКЕК"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "СЭЗ БИШКЕК"" ;417
"32" ;41714103; "МТО "КЫРГЫЗМЕБЕЛЬ"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "КЫРГЫЗМЕБЕЛЬ"" ;417
"33" ;41714302; "МТО "АК-ЧИЙ"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "СЭЗ БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "АК-ЧИЙ"" ;417
"34" ;41762200; "ЦТУ "ЖАЛАЛ-АБАД"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "ЖАЛАЛ-АБАД"" ;417
"35" ;41762201; "МПТП И МТО "ШАМАЛДЫ-САЙ ЖЕЛЕЗНОДОРОЖНЫЙ"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "ДЖАЛАЛ-АБАД" МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР И МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "ШАМАЛДЫ-САЙ ЖЕЛЕЗНОДОРОЖНЫЙ"" ;417
"36" ;41762202; "МТО "ЛАВДАН КАРГО"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "ДЖАЛАЛ-АБАД"  МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "ЛАВДАН КАРГО"" ;417
"37" ;41762203; "МПТП И МТО "ДЖАЛАЛ-АБАД ЖЕЛЕЗНОДОРОЖНЫЙ"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "ДЖАЛАЛ-АБАД" МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР И МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "ДЖАЛАЛ-АБАД ЖЕЛЕЗНОДОРОЖНЫЙ"" ;417
"38" ;41714106; "МТО "КАНТ"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "КАНТ"" ;417
"39" ;41714108; "МТО "БАЛЫКЧЫ" ЦТО "БИШКЕК"" ; "ЦЕНТР ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БАЛЫКЧЫ"" ;417
"40" ;41720000; "ТАМОЖНЯ "НАРЫН"" ; "ТАМОЖНЯ НАРЫН" ;417
"41" ;41720001; "МПТП "ТОРУГАРТ"" ; "ТАМОЖНЯ НАРЫН МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР "ТОРУГАРТ"" ;417
"42" ;41720002; "МТО "НАРЫН"" ; "ТАМОЖНЯ НАРЫН МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "НАРЫН"" ;417
"43" ;41715000; "ЖДТ "СЕВЕРНАЯ"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ" ;417
"44" ;41715001; "МТО "БИШКЕК-1"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БИШКЕК-1"" ;417
"45" ;41715002; "МТО "Ж/Д ВОКЗАЛ"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "Ж/Д ВОКЗАЛ"" ;417
"46" ;41715003; "МТО "ТОКМОК"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "ТОКМОК"" ;417
"47" ;41715004; "МТО "АЛАМЕДИН"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "АЛАМЕДИН"" ;417
"48" ;41715005; "МТО "КАРА-БАЛТА"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "КАРА-БАЛТА"" ;417
"49" ;41715006; "МТО "АВТОМОБИЛЬНЫЙ" ЖДТ "СЕВЕРНАЯ"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "АВТОМОБИЛЬНЫЙ"" ;417
"50" ;41715007; "МТО "БЕЛОВОДСКОЕ"" ; "ЖЕЛЕЗНОДОРОЖНАЯ ТАМОЖНЯ СЕВЕРНАЯ МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "БЕЛОВОДСКОЕ"" ;417
"51" ;41714109; "МТО "СИЛК ВЭЙ" " ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "СИЛК ВЭЙ"" ;417
"52" ;41714700; "ЦТУ "ТАЛАС"" ; "ЦЕНТ ТАМОЖЕННОГО УПРАВЛЕНИЯ "ТАЛАС"" ;417
"53" ;41714701; "МТО "ТАЛАС" ЦТУ "ТАЛАС"" ; "ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ "ТАЛАС" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "ТАЛАС"" ;417
"54" ;41716000; "ТАМОЖНЯ "СЭЗ БИШКЕК"" ; "ТАМОЖНЯ "СВОБОДНАЯ ЭКОНОМИЧЕСКАЯ ЗОНА БИШКЕК"" ;417
"55" ;41716100; "ЦТО ТАМОЖНИ "СЭЗ БИШКЕК"" ; "ЦЕНТР ТАМОЖЕННОГО ОФОРМЛЕНИЯ ТАМОЖНИ "СВОБОДНАЯ ЭКОНОМИЧЕСКАЯ ЗОНА БИШКЕК"" ;417
"56" ;41716101; "МТО "НВЦ"" ; "ЦЕНТР ТАМОЖЕННОГО ОФОРМЛЕНИЯ ТАМОЖНИ "СВОБОДНАЯ ЭКОНОМИЧЕСКАЯ ЗОНА БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "НАЦИОНАЛЬНЫЙ ВЫСТАВОЧНЫЙ ЦЕНТР"" ;417
"57" ;41716102; "МТО "АК-ЧИЙ"" ; "ЦЕНТР ТАМОЖЕННОГО ОФОРМЛЕНИЯ ТАМОЖНИ "СВОБОДНАЯ ЭКОНОМИЧЕСКАЯ ЗОНА БИШКЕК" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ "АК-ЧИЙ"" ;417

