"code";"name"
"10";"Морской/речной транспорт"
"20";"Железнодорожный транспорт"
"30";"Автодорожный транспорт, за исключением транспортных средств, указанных под кодами 31, 32"
"31";"Состав транспортных средств (тягач с полуприцепом или прицепом)"
"32";"Состав транспортных средств (тягач с прицепом(-ами) и полуприцепом(-ами))"
"40";"Воздушный транспорт"
"50";"Почтовое отправление"
"71";"Трубопроводный транспорт"
"72";"Линии электропередачи"
"80";"Внутренний водный транспорт"
"90";"Транспортное средство, перемещающееся в качестве товарасвоим ходом"
"99";"Прочие"
